city,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Pettavaithalai,10.8994891,78.4929164,2025-11-24 00:00:00,9.3,10.4,14.7,38.0,9.5,241.0,Good
Badamba,20.4195571,85.3406483,2025-11-24 00:00:00,68.7,69.8,22.5,49.0,18.4,543.0,Moderate
Pattamundai,20.5815177,86.560468,2025-11-24 00:00:00,83.8,86.4,7.5,105.0,25.9,615.0,Moderate
Jagatsinghpur,20.2593872,86.1660878,2025-11-24 00:00:00,84.3,86.1,16.7,74.0,22.4,631.0,Moderate
Pipili,20.1187885,85.8333277,2025-11-24 00:00:00,75.7,78.2,8.1,124.0,21.6,702.0,Moderate
Mokokchung,26.3238761,94.5214104,2025-11-24 00:00:00,28.0,28.6,15.8,21.0,2.1,277.0,Good
Serchhip,23.3095426,92.857116,2025-11-24 00:00:00,28.3,29.9,14.2,17.0,1.5,298.0,Good
Badagarh,19.6449427,84.4076231,2025-11-24 00:00:00,48.7,49.9,15.9,46.0,5.0,375.0,Satisfactory
Hinjilicut,19.485655,84.7442693,2025-11-24 00:00:00,68.7,70.5,18.8,51.0,8.7,686.0,Moderate
Seragarh,19.5129881,84.603937,2025-11-24 00:00:00,68.7,70.5,18.8,51.0,8.7,390.0,Moderate
Chikiti,19.2014309,84.614825,2025-11-24 00:00:00,60.3,62.6,8.8,101.0,8.2,403.0,Moderate
Hungpung,25.0629102,94.3456319,2025-11-24 00:00:00,18.3,19.7,12.6,42.0,1.9,225.0,Good
Jessami,25.6169442,94.5394336,2025-11-24 00:00:00,24.8,26.5,18.7,43.0,2.3,463.0,Good
Kiphire,25.88673,94.7863485,2025-11-24 00:00:00,16.2,16.9,7.9,15.0,0.5,304.0,Good
Tuensang,26.2393314,94.8146931,2025-11-24 00:00:00,22.4,22.8,13.4,4.0,0.4,230.0,Good
Secunderabad,17.4337246,78.5006827,2025-11-24 00:00:00,31.4,32.5,18.2,72.0,12.1,477.0,Satisfactory
Teliamura,23.8398163,91.6264584,2025-11-24 00:00:00,67.8,69.2,22.8,52.0,6.9,505.0,Moderate
Bishalgarh,23.6738397,91.2829685,2025-11-24 00:00:00,57.3,58.3,22.4,48.0,4.1,560.0,Satisfactory
Bishramganj,23.607676,91.3479074,2025-11-24 00:00:00,57.3,58.3,22.4,48.0,4.1,545.0,Satisfactory
Mamit,23.9160087,92.4935815,2025-11-24 00:00:00,46.6,48.4,12.9,60.0,3.8,329.0,Satisfactory
Peth Umri,19.0397588,77.6459046,2025-11-24 00:00:00,32.7,33.4,6.0,69.0,12.4,372.0,Satisfactory
Bapatla,15.9052608,80.4680501,2025-11-24 00:00:00,16.8,19.3,6.7,69.0,6.4,270.0,Good
Challapalli,16.1167972,80.9301805,2025-11-24 00:00:00,15.5,17.8,3.5,76.0,3.6,262.0,Good
Pedana,16.2608449,81.1522283,2025-11-24 00:00:00,20.7,22.3,3.9,75.0,3.3,294.0,Good
Rongram,25.5981138,90.2518759,2025-11-24 00:00:00,38.9,39.9,11.4,49.0,2.2,374.0,Satisfactory
Dumri,23.9943207,86.0118652,2025-11-24 00:00:00,93.8,101.0,12.0,56.0,10.6,465.0,Poor
Byasanagar,20.9587602,86.1226688,2025-11-24 00:00:00,86.6,88.0,16.1,72.0,21.8,825.0,Moderate
Kodarma,24.4675477,85.5939641,2025-11-24 00:00:00,106.2,114.6,6.8,137.0,22.6,446.0,Poor
Bokaro,23.6544338,86.1456444,2025-11-24 00:00:00,144.4,151.3,41.9,35.0,36.3,461.0,Very Poor
Masaurhi,25.3508773,85.0341732,2025-11-24 00:00:00,160.2,166.7,34.1,52.0,26.8,1066.0,Very Poor
Bhawanipatna,19.9104952,83.1678321,2025-11-24 00:00:00,56.1,56.6,16.4,71.0,13.5,307.0,Satisfactory
Daboka,26.1129473,92.8658755,2025-11-24 00:00:00,41.1,41.9,13.7,25.0,2.8,517.0,Satisfactory
Manja,25.9695246,93.4373259,2025-11-24 00:00:00,25.1,26.0,10.2,36.0,2.4,284.0,Good
Rajmahal,25.053055,87.8304516,2025-11-24 00:00:00,144.8,150.4,29.4,65.0,28.2,481.0,Very Poor
Bhadaur,30.4763027,75.329823,2025-11-24 00:00:00,144.4,146.2,34.1,65.0,25.2,1030.0,Very Poor
Kannamangalam,12.7498833,79.1518558,2025-11-24 00:00:00,12.8,14.6,14.0,45.0,6.8,222.0,Good
Pileru,13.655388,78.9483795,2025-11-24 00:00:00,7.5,9.0,5.9,52.0,2.0,255.0,Good
Rayachoti,14.0555217,78.7510163,2025-11-24 00:00:00,7.3,9.0,6.2,49.0,2.4,216.0,Good
Allagadda,15.1333484,78.51254,2025-11-24 00:00:00,8.4,9.8,4.9,56.0,2.7,234.0,Good
